target_database,donor_schedule_database,tolerance_hours,metric,n_replicates,mean,sd,mcse_of_mean,q025,q975
EICU,EICU,12.0,outcome_observed_fraction,200,0.6097863510605595,0.0084047392257336,0.0005943048100620802,0.5941746080541039,0.6250153704272979
EICU,INSPIRE,12.0,outcome_observed_fraction,200,0.2964694128496772,0.0079020537706944,0.0005587595806558738,0.2815862280971411,0.3120427297878881
EICU,MIMIC,12.0,outcome_observed_fraction,200,0.8499784814017829,0.0061622091783989,0.0004357339897135846,0.8370657854288349,0.861689209960037
EICU,VitalDB,12.0,outcome_observed_fraction,200,0.4279987703658162,0.0089821723598904,0.0006351354985464876,0.4112972640639409,0.444543498309253
INSPIRE,EICU,12.0,outcome_observed_fraction,200,0.4937082338902148,0.0124957055965823,0.0008835798163054037,0.4683323389021479,0.517392601431981
INSPIRE,INSPIRE,12.0,outcome_observed_fraction,200,0.257464200477327,0.0105807671620678,0.0007481732210454083,0.2380071599045346,0.2774612171837709
INSPIRE,MIMIC,12.0,outcome_observed_fraction,200,0.7563633651551314,0.0101209117822526,0.0007156565353021639,0.7380369928400955,0.7750596658711217
INSPIRE,VitalDB,12.0,outcome_observed_fraction,200,0.2788424821002386,0.0111120960251447,0.0007857438452575898,0.2583532219570406,0.3007159904534606
MIMIC,EICU,12.0,outcome_observed_fraction,200,0.6140873854827343,0.0090141987364259,0.0006374001053489962,0.5976039464411558,0.6307346723044398
MIMIC,INSPIRE,12.0,outcome_observed_fraction,200,0.3083703312191684,0.0090687087897442,0.0006412545481834172,0.2906976744186046,0.325237843551797
MIMIC,MIMIC,12.0,outcome_observed_fraction,200,0.8530285412262156,0.0066060030747455,0.0004671149570691726,0.8396670190274842,0.8661028893587033
MIMIC,VitalDB,12.0,outcome_observed_fraction,200,0.438021494009866,0.0093947506533962,0.0006643091894573201,0.4186046511627907,0.4542019027484144
VitalDB,EICU,12.0,outcome_observed_fraction,200,0.5721759259259259,0.0260786477189942,0.0018440388646275888,0.5184413580246914,0.6172839506172839
VitalDB,INSPIRE,12.0,outcome_observed_fraction,200,0.2184413580246913,0.0226539307074803,0.001601874802378948,0.1789351851851851,0.2624228395061728
VitalDB,MIMIC,12.0,outcome_observed_fraction,200,0.8163734567901235,0.0227036599915896,0.001605391193780672,0.7746913580246914,0.8641975308641975
VitalDB,VitalDB,12.0,outcome_observed_fraction,200,0.3763271604938271,0.0266897681883092,0.001887251607425043,0.3270061728395061,0.4260030864197531
EICU,EICU,12.0,reconstructed_sensitivity,200,0.5433720930232558,0.0172381228371417,0.0012189193553069585,0.5115595075239399,0.5745896032831738
EICU,INSPIRE,12.0,reconstructed_sensitivity,200,0.2354514363885088,0.0142060891503262,0.0010045221972336295,0.2092681258549931,0.2599521203830369
EICU,MIMIC,12.0,reconstructed_sensitivity,200,0.7866142270861832,0.0154973573081379,0.001095828644305521,0.7591313269493845,0.8167236662106703
EICU,VitalDB,12.0,reconstructed_sensitivity,200,0.3663679890560876,0.0180346295783148,0.001275240887101388,0.3282489740082079,0.3981190150478796
INSPIRE,EICU,12.0,reconstructed_sensitivity,200,0.4742028985507246,0.0398733745491599,0.0028194733532502063,0.3985507246376811,0.5507246376811594
INSPIRE,INSPIRE,12.0,reconstructed_sensitivity,200,0.2030434782608695,0.0353281806968199,0.002498079613770504,0.1375,0.2826086956521739
INSPIRE,MIMIC,12.0,reconstructed_sensitivity,200,0.7315579710144928,0.036361268509976,0.00257112995359489,0.6594202898550725,0.8045289855072464
INSPIRE,VitalDB,12.0,reconstructed_sensitivity,200,0.308731884057971,0.0404662618993278,0.002861396819828551,0.2318840579710145,0.3985507246376811
MIMIC,EICU,12.0,reconstructed_sensitivity,200,0.517253086419753,0.0190823445946886,0.001349325526384277,0.4799382716049383,0.5555555555555556
MIMIC,INSPIRE,12.0,reconstructed_sensitivity,200,0.2454166666666666,0.0160508665031108,0.0011349676548269654,0.2144675925925926,0.2778163580246914
MIMIC,MIMIC,12.0,reconstructed_sensitivity,200,0.7561033950617285,0.0156318861540655,0.0011053412702275815,0.7268132716049382,0.7854938271604939
MIMIC,VitalDB,12.0,reconstructed_sensitivity,200,0.3494753086419753,0.018367875816159,0.001298804954559842,0.3178626543209877,0.3873842592592593
VitalDB,EICU,12.0,reconstructed_sensitivity,200,0.4569565217391305,0.0714540385623359,0.005052563521059278,0.3260869565217391,0.6086956521739131
VitalDB,INSPIRE,12.0,reconstructed_sensitivity,200,0.1758695652173913,0.0559970436064931,0.003959588926055008,0.0864130434782608,0.2831521739130436
VitalDB,MIMIC,12.0,reconstructed_sensitivity,200,0.6954347826086956,0.0616029202106239,0.004355984262182598,0.5652173913043478,0.8043478260869565
VitalDB,VitalDB,12.0,reconstructed_sensitivity,200,0.3310869565217391,0.0664514373312008,0.004698826195648498,0.1956521739130435,0.4565217391304347
