target_database,donor_schedule_database,tolerance_hours,method,evaluation_target,metric,n_replicates,mean,sd,q025,q975
EICU,EICU,12.0,full_reference,retained_reference,outcome_observed_fraction,200,0.6097863510605595,0.0084047392257336,0.5941746080541039,0.6250153704272979
EICU,EICU,12.0,full_reference,retained_reference,reconstructed_sensitivity,200,0.5433720930232558,0.0172381228371417,0.5115595075239399,0.5745896032831738
EICU,EICU,12.0,full_reference,retained_reference,mean_retained_measurements,200,3.29275745465724,0.0339306338968218,3.232293267752844,3.3618659698739624
EICU,EICU,12.0,full_reference,retained_reference,event_rate,200,0.2247156470949892,5.565045170431277e-17,0.2247156470949892,0.2247156470949892
EICU,EICU,12.0,full_reference,retained_reference,oe,200,0.8265876547126385,1.1130090340862554e-16,0.8265876547126386,0.8265876547126386
EICU,EICU,12.0,full_reference,retained_reference,brier,200,0.1731708282004487,0.0,0.1731708282004487,0.1731708282004487
EICU,EICU,12.0,full_reference,retained_reference,auc,200,0.6075628857300625,0.0,0.6075628857300625,0.6075628857300625
EICU,EICU,12.0,full_reference,retained_reference,calibration_intercept,200,-0.5713041050456755,1.1130090340862554e-16,-0.5713041050456754,-0.5713041050456754
EICU,EICU,12.0,full_reference,retained_reference,calibration_slope,200,0.669538562489046,0.0,0.669538562489046,0.669538562489046
EICU,EICU,12.0,local_recalibration,reconstructed_observed,outcome_observed_fraction,200,0.6097863510605595,0.0084047392257336,0.5941746080541039,0.6250153704272979
EICU,EICU,12.0,local_recalibration,reconstructed_observed,reconstructed_sensitivity,200,0.5433720930232558,0.0172381228371417,0.5115595075239399,0.5745896032831738
EICU,EICU,12.0,local_recalibration,reconstructed_observed,mean_retained_measurements,200,3.29275745465724,0.0339306338968218,3.232293267752844,3.3618659698739624
EICU,EICU,12.0,local_recalibration,reconstructed_observed,event_rate,200,0.2002383755811271,0.0056362184421828,0.189435478991049,0.2101882576052908
EICU,EICU,12.0,local_recalibration,reconstructed_observed,oe,200,0.999974300132792,0.0029737932462242,0.9937177607664373,1.0056624023487255
EICU,EICU,12.0,local_recalibration,reconstructed_observed,brier,200,0.1563117023978032,0.0033986209914889,0.1497179672925146,0.1625368038045974
EICU,EICU,12.0,local_recalibration,reconstructed_observed,auc,200,0.6097538255853361,0.0117672023184657,0.5834601979928422,0.6336932236117157
EICU,EICU,12.0,local_recalibration,reconstructed_observed,calibration_intercept,200,-0.1078922847063861,0.1097199135686644,-0.4267261113747623,-0.0001686045143697
EICU,EICU,12.0,local_recalibration,reconstructed_observed,calibration_slope,200,0.9198533831880912,0.080670768119752,0.6850256781889181,0.9997866959536212
EICU,EICU,12.0,local_recalibration,retained_reference,outcome_observed_fraction,200,0.6097863510605595,0.0084047392257336,0.5941746080541039,0.6250153704272979
EICU,EICU,12.0,local_recalibration,retained_reference,reconstructed_sensitivity,200,0.5433720930232558,0.0172381228371417,0.5115595075239399,0.5745896032831738
EICU,EICU,12.0,local_recalibration,retained_reference,mean_retained_measurements,200,3.29275745465724,0.0339306338968218,3.232293267752844,3.3618659698739624
EICU,EICU,12.0,local_recalibration,retained_reference,event_rate,200,0.2247156470949892,5.565045170431277e-17,0.2247156470949892,0.2247156470949892
EICU,EICU,12.0,local_recalibration,retained_reference,oe,200,1.1231218996698118,0.0317271916241093,1.067345864349027,1.1888169159409607
EICU,EICU,12.0,local_recalibration,retained_reference,brier,200,0.1706138592207968,0.0005103565795429,0.1699483588254839,0.1715517188715016
EICU,EICU,12.0,local_recalibration,retained_reference,auc,200,0.6041058602221111,0.0038852171904746,0.5933293854029819,0.6077736167959983
EICU,EICU,12.0,local_recalibration,retained_reference,calibration_intercept,200,0.0070949461464936,0.1476012708060144,-0.2657762977510238,0.3262534170608833
EICU,EICU,12.0,local_recalibration,retained_reference,calibration_slope,200,0.8936214433274969,0.1087566883676929,0.6699163758028396,1.1122037882853706
EICU,EICU,12.0,naive,reconstructed_observed,outcome_observed_fraction,200,0.6097863510605595,0.0084047392257336,0.5941746080541039,0.6250153704272979
EICU,EICU,12.0,naive,reconstructed_observed,reconstructed_sensitivity,200,0.5433720930232558,0.0172381228371417,0.5115595075239399,0.5745896032831738
EICU,EICU,12.0,naive,reconstructed_observed,mean_retained_measurements,200,3.29275745465724,0.0339306338968218,3.232293267752844,3.3618659698739624
EICU,EICU,12.0,naive,reconstructed_observed,event_rate,200,0.2002383755811271,0.0056362184421828,0.189435478991049,0.2101882576052908
EICU,EICU,12.0,naive,reconstructed_observed,oe,200,0.7364175136727954,0.0205042376773676,0.6942000957999159,0.7728666822068567
EICU,EICU,12.0,naive,reconstructed_observed,brier,200,0.1626416511762346,0.0027576682866813,0.1574749544756861,0.1677624399160862
EICU,EICU,12.0,naive,reconstructed_observed,auc,200,0.6147241373909113,0.0101164312141797,0.5953521725569322,0.633925109954129
EICU,EICU,12.0,naive,reconstructed_observed,calibration_intercept,200,-0.6867098076697399,0.0712141387714288,-0.8425567590874578,-0.5589424511353709
EICU,EICU,12.0,naive,reconstructed_observed,calibration_slope,200,0.7078219423933274,0.0691274595019788,0.5708732694976019,0.8500283498552967
EICU,INSPIRE,12.0,full_reference,retained_reference,outcome_observed_fraction,200,0.2964694128496772,0.0079020537706944,0.2815862280971411,0.3120427297878881
EICU,INSPIRE,12.0,full_reference,retained_reference,reconstructed_sensitivity,200,0.2354514363885088,0.0142060891503262,0.2092681258549931,0.2599521203830369
EICU,INSPIRE,12.0,full_reference,retained_reference,mean_retained_measurements,200,2.491799877036581,0.0196462111848989,2.460152167230249,2.532454657239472
EICU,INSPIRE,12.0,full_reference,retained_reference,event_rate,200,0.2247156470949892,5.565045170431277e-17,0.2247156470949892,0.2247156470949892
EICU,INSPIRE,12.0,full_reference,retained_reference,oe,200,0.8265876547126385,1.1130090340862554e-16,0.8265876547126386,0.8265876547126386
EICU,INSPIRE,12.0,full_reference,retained_reference,brier,200,0.1731708282004487,0.0,0.1731708282004487,0.1731708282004487
EICU,INSPIRE,12.0,full_reference,retained_reference,auc,200,0.6075628857300625,0.0,0.6075628857300625,0.6075628857300625
EICU,INSPIRE,12.0,full_reference,retained_reference,calibration_intercept,200,-0.5713041050456755,1.1130090340862554e-16,-0.5713041050456754,-0.5713041050456754
EICU,INSPIRE,12.0,full_reference,retained_reference,calibration_slope,200,0.669538562489046,0.0,0.669538562489046,0.669538562489046
EICU,INSPIRE,12.0,local_recalibration,reconstructed_observed,outcome_observed_fraction,200,0.2964694128496772,0.0079020537706944,0.2815862280971411,0.3120427297878881
EICU,INSPIRE,12.0,local_recalibration,reconstructed_observed,reconstructed_sensitivity,200,0.2354514363885088,0.0142060891503262,0.2092681258549931,0.2599521203830369
EICU,INSPIRE,12.0,local_recalibration,reconstructed_observed,mean_retained_measurements,200,2.491799877036581,0.0196462111848989,2.460152167230249,2.532454657239472
EICU,INSPIRE,12.0,local_recalibration,reconstructed_observed,event_rate,200,0.178467801484071,0.0097161636276604,0.1611738625596014,0.1987536389179101
EICU,INSPIRE,12.0,local_recalibration,reconstructed_observed,oe,200,1.0001026794968773,0.0078256761635488,0.986824674752746,1.017123096105066
EICU,INSPIRE,12.0,local_recalibration,reconstructed_observed,brier,200,0.1439326600376682,0.0062929213148243,0.1321426012400103,0.1569787521703277
EICU,INSPIRE,12.0,local_recalibration,reconstructed_observed,auc,200,0.6034599333405183,0.0260798904638026,0.5390699306690854,0.6477559635363952
EICU,INSPIRE,12.0,local_recalibration,reconstructed_observed,calibration_intercept,200,-0.2877193945359894,0.2757610264733629,-1.046485518831206,-0.0028290873462493
EICU,INSPIRE,12.0,local_recalibration,reconstructed_observed,calibration_slope,200,0.8072298126563777,0.1805588427156455,0.2991567117425574,0.9985530017428136
EICU,INSPIRE,12.0,local_recalibration,retained_reference,outcome_observed_fraction,200,0.2964694128496772,0.0079020537706944,0.2815862280971411,0.3120427297878881
EICU,INSPIRE,12.0,local_recalibration,retained_reference,reconstructed_sensitivity,200,0.2354514363885088,0.0142060891503262,0.2092681258549931,0.2599521203830369
EICU,INSPIRE,12.0,local_recalibration,retained_reference,mean_retained_measurements,200,2.491799877036581,0.0196462111848989,2.460152167230249,2.532454657239472
EICU,INSPIRE,12.0,local_recalibration,retained_reference,event_rate,200,0.2247156470949892,5.565045170431277e-17,0.2247156470949892,0.2247156470949892
EICU,INSPIRE,12.0,local_recalibration,retained_reference,oe,200,1.268349647897925,0.0700693727225491,1.131423209788635,1.4052823551533735
EICU,INSPIRE,12.0,local_recalibration,retained_reference,brier,200,0.1726270291221618,0.0011098287015302,0.1705263878052674,0.1747373835347246
EICU,INSPIRE,12.0,local_recalibration,retained_reference,auc,200,0.6021052033486984,0.0070976563491339,0.5810356550454495,0.60902183900689
EICU,INSPIRE,12.0,local_recalibration,retained_reference,calibration_intercept,200,0.1087773866370113,0.2961052649713476,-0.3852132999204314,0.7416381045505874
EICU,INSPIRE,12.0,local_recalibration,retained_reference,calibration_slope,200,0.8699999025319737,0.1945198397816512,0.5623241190315176,1.2861500749951362
EICU,INSPIRE,12.0,naive,reconstructed_observed,outcome_observed_fraction,200,0.2964694128496772,0.0079020537706944,0.2815862280971411,0.3120427297878881
EICU,INSPIRE,12.0,naive,reconstructed_observed,reconstructed_sensitivity,200,0.2354514363885088,0.0142060891503262,0.2092681258549931,0.2599521203830369
EICU,INSPIRE,12.0,naive,reconstructed_observed,mean_retained_measurements,200,2.491799877036581,0.0196462111848989,2.460152167230249,2.532454657239472
EICU,INSPIRE,12.0,naive,reconstructed_observed,event_rate,200,0.178467801484071,0.0097161636276604,0.1611738625596014,0.1987536389179101
EICU,INSPIRE,12.0,naive,reconstructed_observed,oe,200,0.6530981191592313,0.0360218266823849,0.5891572572626951,0.727875167827965
EICU,INSPIRE,12.0,naive,reconstructed_observed,brier,200,0.1543056703101796,0.0047893245099397,0.1448706930570872,0.1643151588367274
EICU,INSPIRE,12.0,naive,reconstructed_observed,auc,200,0.6146614250448071,0.0211695512023288,0.5750390060316286,0.6548131620019113
