assumed_postdischarge_event_fraction,assignment_mechanism,metric,n_replicates,mean,q025,q975
0.0,highest_predicted_risk,events,1,155.0,155.0,155.0
0.0,highest_predicted_risk,event_rate,1,0.03861484803188839,0.03861484803188839,0.03861484803188839
0.0,highest_predicted_risk,oe,1,0.9667824478822813,0.9667824478822813,0.9667824478822813
0.0,highest_predicted_risk,brier,1,0.034934131337412744,0.034934131337412744,0.034934131337412744
0.0,highest_predicted_risk,auc,1,0.7034414732213761,0.7034414732213761,0.7034414732213761
0.0,highest_predicted_risk,calibration_intercept,1,0.15898276591486268,0.15898276591486268,0.15898276591486268
0.0,highest_predicted_risk,calibration_slope,1,1.068364407966817,1.068364407966817,1.068364407966817
0.0,random,events,1,155.0,155.0,155.0
0.0,random,event_rate,1,0.03861484803188839,0.03861484803188839,0.03861484803188839
0.0,random,oe,1,0.9667824478822813,0.9667824478822813,0.9667824478822813
0.0,random,brier,1,0.034934131337412744,0.034934131337412744,0.034934131337412744
0.0,random,auc,1,0.7034414732213761,0.7034414732213761,0.7034414732213761
0.0,random,calibration_intercept,1,0.15898276591486268,0.15898276591486268,0.15898276591486268
0.0,random,calibration_slope,1,1.068364407966817,1.068364407966817,1.068364407966817
0.02,highest_predicted_risk,events,1,158.0,158.0,158.0
0.02,highest_predicted_risk,event_rate,1,0.0393622321873443,0.0393622321873443,0.0393622321873443
0.02,highest_predicted_risk,oe,1,0.98549436622839,0.98549436622839,0.98549436622839
0.02,highest_predicted_risk,brier,1,0.03540940481907131,0.03540940481907131,0.03540940481907131
0.02,highest_predicted_risk,auc,1,0.7092317085981406,0.7092317085981406,0.7092317085981406
0.02,highest_predicted_risk,calibration_intercept,1,0.2776955299596879,0.2776955299596879,0.2776955299596879
0.02,highest_predicted_risk,calibration_slope,1,1.102868882347083,1.102868882347083,1.102868882347083
0.02,random,events,1000,158.0,158.0,158.0
0.02,random,event_rate,1000,0.03936223218734429,0.0393622321873443,0.0393622321873443
0.02,random,oe,1000,0.9854943662283904,0.98549436622839,0.98549436622839
0.02,random,brier,1000,0.03563155621083586,0.03556166162022059,0.03565852274923898
0.02,random,auc,1000,0.6989970012211777,0.6932019473186618,0.704827098324492
0.02,random,calibration_intercept,1000,0.1267131283076472,0.07844730089140241,0.18307242292740764
0.02,random,calibration_slope,1000,1.049716202185854,1.0328824806589343,1.0694623071459308
0.05,highest_predicted_risk,events,1,163.0,163.0,163.0
0.05,highest_predicted_risk,event_rate,1,0.04060787244643747,0.04060787244643747,0.04060787244643747
0.05,highest_predicted_risk,oe,1,1.0166808968052377,1.0166808968052377,1.0166808968052377
0.05,highest_predicted_risk,brier,1,0.036420573101434706,0.036420573101434706,0.036420573101434706
0.05,highest_predicted_risk,auc,1,0.7167925469123627,0.7167925469123627,0.7167925469123627
0.05,highest_predicted_risk,calibration_intercept,1,0.3798867021810444,0.3798867021810444,0.3798867021810444
0.05,highest_predicted_risk,calibration_slope,1,1.1269975125872023,1.1269975125872023,1.1269975125872023
0.05,random,events,1000,163.0,163.0,163.0
0.05,random,event_rate,1000,0.040607872446437474,0.04060787244643747,0.04060787244643747
0.05,random,oe,1000,1.0166808968052374,1.0166808968052377,1.0166808968052377
0.05,random,brier,1000,0.03679556350599112,0.03669819965254826,0.036847324709801024
0.05,random,auc,1000,0.6917646408470113,0.6821429140387406,0.7011166329198217
0.05,random,calibration_intercept,1000,0.07186593077564649,-0.00636001732293514,0.162829911267249
0.05,random,calibration_slope,1000,1.0187411553301984,0.991691375401892,1.0505211120530555
0.1,highest_predicted_risk,events,1,172.0,172.0,172.0
0.1,highest_predicted_risk,event_rate,1,0.04285002491280518,0.04285002491280518,0.04285002491280518
0.1,highest_predicted_risk,oe,1,1.0728166518435638,1.0728166518435638,1.0728166518435638
0.1,highest_predicted_risk,brier,1,0.038378783913390065,0.038378783913390065,0.038378783913390065
0.1,highest_predicted_risk,auc,1,0.7256031863249519,0.7256031863249519,0.7256031863249519
0.1,highest_predicted_risk,calibration_intercept,1,0.4657417151142134,0.4657417151142134,0.4657417151142134
0.1,highest_predicted_risk,calibration_slope,1,1.1363393973469684,1.1363393973469684,1.1363393973469684
0.1,random,events,1000,172.0,172.0,172.0
0.1,random,event_rate,1000,0.04285002491280519,0.04285002491280518,0.04285002491280518
0.1,random,oe,1000,1.072816651843564,1.0728166518435638,1.0728166518435638
0.1,random,brier,1000,0.03888635790655741,0.03875629807961514,0.03896989939824961
0.1,random,auc,1000,0.6803897043690907,0.6678667088362409,0.6933189850852874
0.1,random,calibration_intercept,1000,-0.013579144593139105,-0.12762909987914958,0.10752533293846539
0.1,random,calibration_slope,1000,0.968937227145057,0.9298160687333665,1.0107770622958614
0.2,highest_predicted_risk,events,1,188.0,188.0,188.0
0.2,highest_predicted_risk,event_rate,1,0.046836073741903336,0.046836073741903336,0.046836073741903336
0.2,highest_predicted_risk,oe,1,1.1726135496894767,1.1726135496894767,1.1726135496894767
0.2,highest_predicted_risk,brier,1,0.04197918942507093,0.04197918942507093,0.04197918942507093
0.2,highest_predicted_risk,auc,1,0.7320252805552157,0.7320252805552157,0.7320252805552157
0.2,highest_predicted_risk,calibration_intercept,1,0.5101067906876431,0.5101067906876431,0.5101067906876431
0.2,highest_predicted_risk,calibration_slope,1,1.1168894930998576,1.1168894930998576,1.1168894930998576
0.2,random,events,1000,188.0,188.0,188.0
0.2,random,event_rate,1000,0.04683607374190334,0.046836073741903336,0.046836073741903336
0.2,random,oe,1000,1.1726135496894765,1.1726135496894767,1.1726135496894767
0.2,random,brier,1000,0.04260699832004088,0.04245383576337445,0.0427338398597785
0.2,random,auc,1000,0.6622268840853733,0.6465930197639888,0.6773453748707056
0.2,random,calibration_intercept,1000,-0.15108067768296202,-0.297145605577302,-0.005239489795942925
0.2,random,calibration_slope,1000,0.8892830043174356,0.8402114132092665,0.9385091165656565
